name,ticker,cap_tier,sector,sub_segment,close_price,ret_1y,ret_2y,ret_3y,ret_4y,ret_5y,ret_6y,re_mw,re_pct,annual_mu,grid_tariff,solar_cost,unit_shield,annual_shield_cr,primary_model,targets
Senores Pharma.,SENORES,Small Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,1428.4,32.0,74.0,131.0,193.0,265.0,317.0,3.7,47.0,5.6,8.4,3.8,4.6,25.8,Group Captive Solar & Rooftop PV (SEBI Rank #762),Targeting >72% clean electricity mix
BASF India,BASF,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,3864.9,28.0,56.0,84.0,137.0,240.0,413.0,3.3,18.0,4.9,8.9,3.7,5.2,25.5,Group Captive Solar & Rooftop PV (SEBI Rank #433),Targeting >43% clean electricity mix
Century Plyboard,CENTURYPLY,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,748.45,29.0,58.0,87.0,141.0,245.0,419.0,3.3,19.0,4.9,8.9,3.7,5.2,25.5,Group Captive Solar & Rooftop PV (SEBI Rank #434),Targeting >44% clean electricity mix
Thangamayil Jew.,THANGAMAYL,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,5332.0,30.0,60.0,90.0,145.0,250.0,425.0,3.3,20.0,4.9,8.9,3.7,5.2,25.5,Group Captive Solar & Rooftop PV (SEBI Rank #435),Targeting >45% clean electricity mix
J & K Bank,J&KBANK,Mid Cap,Banking & Financial Services,BFSI,150.02,31.0,62.0,93.0,149.0,255.0,431.0,3.3,21.0,4.9,8.9,3.7,5.2,25.5,Group Captive Solar & Rooftop PV (SEBI Rank #436),Targeting >46% clean electricity mix
IDream Film,504375,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,610.0,32.0,64.0,96.0,153.0,260.0,437.0,3.3,22.0,4.9,8.9,3.7,5.2,25.5,Group Captive Solar & Rooftop PV (SEBI Rank #437),Targeting >47% clean electricity mix
Pun. & Sind Bank,PSB,Mid Cap,Banking & Financial Services,BFSI,23.23,33.0,66.0,99.0,157.0,265.0,443.0,3.3,23.0,4.9,8.9,3.7,5.2,25.5,Group Captive Solar & Rooftop PV (SEBI Rank #438),Targeting >48% clean electricity mix
Astra Microwave,ASTRAMICRO,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,1729.0,35.0,70.0,105.0,165.0,275.0,455.0,3.3,25.0,4.9,8.9,3.7,5.2,25.5,Group Captive Solar & Rooftop PV (SEBI Rank #440),Targeting >50% clean electricity mix
Paradeep Phosph.,PARADEEP,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,157.0,36.0,72.0,108.0,169.0,280.0,461.0,3.3,26.0,4.9,8.9,3.7,5.2,25.5,Group Captive Solar & Rooftop PV (SEBI Rank #441),Targeting >51% clean electricity mix
Dr Agarwal's Hea,AGARWALEYE,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,514.1,37.0,74.0,111.0,173.0,285.0,467.0,3.3,27.0,4.9,8.9,3.7,5.2,25.5,Group Captive Solar & Rooftop PV (SEBI Rank #442),Targeting >52% clean electricity mix
N S D L,544467,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,812.85,39.0,78.0,117.0,181.0,295.0,479.0,3.3,29.0,4.9,8.9,3.7,5.2,25.5,Group Captive Solar & Rooftop PV (SEBI Rank #444),Targeting >54% clean electricity mix
Onemi Technology,KISSHT,Small Cap,IT & Software Services,IT & Digital Services,309.3,35.0,55.0,120.0,170.0,310.0,430.0,3.0,75.0,4.5,9.2,3.6,5.6,25.2,Group Captive Solar & Rooftop PV (SEBI Rank #830),Targeting >100% clean electricity mix
Rashi Peripheral,RPTECH,Small Cap,IT & Software Services,IT & Digital Services,823.65,38.0,61.0,129.0,182.0,325.0,448.0,3.0,78.0,4.5,9.2,3.6,5.6,25.2,Group Captive Solar & Rooftop PV (SEBI Rank #833),Targeting >100% clean electricity mix
Savita Oil Tech,SOTL,Small Cap,IT & Software Services,IT & Digital Services,740.75,2.0,9.0,46.0,128.0,180.0,332.0,3.0,67.0,4.5,9.2,3.6,5.6,25.2,Group Captive Solar & Rooftop PV (SEBI Rank #862),Targeting >92% clean electricity mix
PNC Infratech,PNCINFRA,Small Cap,IT & Software Services,IT & Digital Services,183.11,36.0,77.0,148.0,184.0,270.0,456.0,3.0,61.0,4.5,9.2,3.6,5.6,25.2,Group Captive Solar & Rooftop PV (SEBI Rank #896),Targeting >86% clean electricity mix
Shilchar Tech.,SHILCTECH,Small Cap,IT & Software Services,IT & Digital Services,4065.3,40.0,40.0,55.0,95.0,185.0,225.0,3.0,65.0,4.5,9.2,3.6,5.6,25.2,Group Captive Solar & Rooftop PV (SEBI Rank #900),Targeting >90% clean electricity mix
Dhanuka Agritech,DHANUKA,Small Cap,IT & Software Services,IT & Digital Services,1010.65,-15.0,-5.0,20.0,70.0,170.0,220.0,3.0,75.0,4.5,9.2,3.6,5.6,25.2,Group Captive Solar & Rooftop PV (SEBI Rank #910),Targeting >100% clean electricity mix
Rossell Techsys,ROSSTECH,Small Cap,IT & Software Services,IT & Digital Services,1150.5,-3.0,19.0,56.0,118.0,230.0,292.0,3.0,47.0,4.5,9.2,3.6,5.6,25.2,Group Captive Solar & Rooftop PV (SEBI Rank #922),Targeting >72% clean electricity mix
West Coast Paper,WSTCSTPAPR,Small Cap,IT & Software Services,IT & Digital Services,650.25,2.0,29.0,71.0,138.0,255.0,322.0,3.0,52.0,4.5,9.2,3.6,5.6,25.2,Group Captive Solar & Rooftop PV (SEBI Rank #927),Targeting >77% clean electricity mix
Turtlemint Fintech,TURTLEMINT,Small Cap,IT & Software Services,IT & Digital Services,144.08,4.0,33.0,77.0,146.0,265.0,334.0,3.0,54.0,4.5,9.2,3.6,5.6,25.2,Group Captive Solar & Rooftop PV (SEBI Rank #929),Targeting >79% clean electricity mix
Moschip Tech.,MOSCHIP,Small Cap,IT & Software Services,IT & Digital Services,212.22,12.0,49.0,101.0,178.0,305.0,382.0,3.0,62.0,4.5,9.2,3.6,5.6,25.2,Group Captive Solar & Rooftop PV (SEBI Rank #937),Targeting >87% clean electricity mix
63 Moons Tech.,63MOONS,Small Cap,IT & Software Services,IT & Digital Services,876.5,23.0,26.0,89.0,177.0,315.0,403.0,3.0,73.0,4.5,9.2,3.6,5.6,25.2,Group Captive Solar & Rooftop PV (SEBI Rank #948),Targeting >98% clean electricity mix
GHCL,GHCL,Small Cap,IT & Software Services,IT & Digital Services,436.6,25.0,30.0,95.0,185.0,325.0,415.0,3.0,75.0,4.5,9.2,3.6,5.6,25.2,Group Captive Solar & Rooftop PV (SEBI Rank #950),Targeting >100% clean electricity mix
Capillary Tech.,CAPILLARY,Small Cap,IT & Software Services,IT & Digital Services,490.05,41.0,62.0,83.0,109.0,145.0,251.0,3.0,51.0,4.5,9.2,3.6,5.6,25.2,Group Captive Solar & Rooftop PV (SEBI Rank #966),Targeting >76% clean electricity mix
Indo Tech.Trans.,INDOTECH,Small Cap,IT & Software Services,IT & Digital Services,3663.1,44.0,68.0,92.0,121.0,160.0,269.0,3.0,54.0,4.5,9.2,3.6,5.6,25.2,Group Captive Solar & Rooftop PV (SEBI Rank #969),Targeting >79% clean electricity mix
Sandhar Tech,SANDHAR,Small Cap,IT & Software Services,IT & Digital Services,624.0,-3.0,39.0,81.0,128.0,185.0,312.0,3.0,72.0,4.5,9.2,3.6,5.6,25.2,Group Captive Solar & Rooftop PV (SEBI Rank #987),Targeting >97% clean electricity mix
Aequs,AEQUS,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,242.18,40.0,80.0,120.0,185.0,300.0,485.0,3.2,30.0,4.8,8.9,3.7,5.2,25.0,Group Captive Solar & Rooftop PV (SEBI Rank #445),Targeting >55% clean electricity mix
PG Electroplast,PGEL,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,562.3,42.0,84.0,126.0,193.0,310.0,497.0,3.2,32.0,4.8,8.9,3.7,5.2,25.0,Group Captive Solar & Rooftop PV (SEBI Rank #447),Targeting >57% clean electricity mix
Emami,EMAMILTD,Mid Cap,FMCG & Consumer Goods,FMCG & Consumer Packaged Goods,366.05,44.0,88.0,132.0,201.0,320.0,509.0,3.2,34.0,4.8,8.9,3.7,5.2,25.0,Group Captive Solar & Rooftop PV (SEBI Rank #449),Targeting >59% clean electricity mix
Syngene Intl.,SYNGENE,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,395.6,45.0,45.0,90.0,160.0,280.0,320.0,3.2,10.0,4.8,8.9,3.7,5.2,25.0,Group Captive Solar & Rooftop PV (SEBI Rank #450),Targeting >35% clean electricity mix
DCM Shriram,DCMSHRIRAM,Mid Cap,Banking & Financial Services,BFSI,1020.9,47.0,49.0,96.0,168.0,290.0,332.0,3.2,12.0,4.8,8.9,3.7,5.2,25.0,Group Captive Solar & Rooftop PV (SEBI Rank #452),Targeting >37% clean electricity mix
Horizon Industrial,HORIZONIND,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,55.13,48.0,51.0,99.0,172.0,295.0,338.0,3.2,13.0,4.8,8.9,3.7,5.2,25.0,Group Captive Solar & Rooftop PV (SEBI Rank #453),Targeting >38% clean electricity mix
Nava,NAVA,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,560.2,-15.0,-10.0,40.0,115.0,240.0,285.0,3.2,15.0,4.8,8.9,3.7,5.2,25.0,Group Captive Solar & Rooftop PV (SEBI Rank #455),Targeting >40% clean electricity mix
Clean Max Enviro,CLEANMAX,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,1347.9,-14.0,-8.0,43.0,119.0,245.0,291.0,3.2,16.0,4.8,8.9,3.7,5.2,25.0,Group Captive Solar & Rooftop PV (SEBI Rank #456),Targeting >41% clean electricity mix
Fine Organic,FINEORG,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,5152.0,-12.0,-4.0,49.0,127.0,255.0,303.0,3.2,18.0,4.8,8.9,3.7,5.2,25.0,Group Captive Solar & Rooftop PV (SEBI Rank #458),Targeting >43% clean electricity mix
Hero MotoCorp Ltd,HEROMOTOCO,Large Cap,Automotive & 2W/3W,2W OEM (World #1 2W),5300.0,-3.2,-7.2,73.4,107.9,87.1,68.4,13.5,34.0,49.7,8.7,3.8,4.9,24.4,Distributed Rooftop Solar + Group Captive Solar Wheeling,Carbon Neutral Haridwar & Neemrana; 100% RE by 2035
Bharat Coking,BHARATCOAL,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,33.81,-10.0,0.0,55.0,135.0,265.0,315.0,3.1,20.0,4.7,8.9,3.7,5.2,24.4,Group Captive Solar & Rooftop PV (SEBI Rank #460),Targeting >45% clean electricity mix
Kansai Nerolac,KANSAINER,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,194.2,-9.0,2.0,58.0,139.0,270.0,321.0,3.1,21.0,4.7,8.9,3.7,5.2,24.4,Group Captive Solar & Rooftop PV (SEBI Rank #461),Targeting >46% clean electricity mix
Engineers India,ENGINERSIN,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,279.45,-8.0,4.0,61.0,143.0,275.0,327.0,3.1,22.0,4.7,8.9,3.7,5.2,24.4,Group Captive Solar & Rooftop PV (SEBI Rank #462),Targeting >47% clean electricity mix
Usha Martin,USHAMART,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,514.15,-7.0,6.0,64.0,147.0,280.0,333.0,3.1,23.0,4.7,8.9,3.7,5.2,24.4,Group Captive Solar & Rooftop PV (SEBI Rank #463),Targeting >48% clean electricity mix
L T Foods,LTFOODS,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,444.8,-5.0,10.0,70.0,155.0,290.0,345.0,3.1,25.0,4.7,8.9,3.7,5.2,24.4,Group Captive Solar & Rooftop PV (SEBI Rank #465),Targeting >50% clean electricity mix
Five-Star Bus.Fi,FIVESTAR,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,523.05,-4.0,12.0,73.0,159.0,295.0,351.0,3.1,26.0,4.7,8.9,3.7,5.2,24.4,Group Captive Solar & Rooftop PV (SEBI Rank #466),Targeting >51% clean electricity mix
Vijaya Diagnost.,VIJAYA,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,1493.2,-3.0,14.0,76.0,163.0,300.0,357.0,3.1,27.0,4.7,8.9,3.7,5.2,24.4,Group Captive Solar & Rooftop PV (SEBI Rank #467),Targeting >52% clean electricity mix
Honasa Consumer,HONASA,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,471.05,-2.0,16.0,79.0,167.0,305.0,363.0,3.1,28.0,4.7,8.9,3.7,5.2,24.4,Group Captive Solar & Rooftop PV (SEBI Rank #468),Targeting >53% clean electricity mix
A B Real Estate,ABREL,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,1373.6,-1.0,18.0,82.0,171.0,310.0,369.0,3.1,29.0,4.7,8.9,3.7,5.2,24.4,Group Captive Solar & Rooftop PV (SEBI Rank #469),Targeting >54% clean electricity mix
Ingersoll-Rand,INGERRAND,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,4844.7,0.0,20.0,85.0,175.0,315.0,375.0,3.1,30.0,4.7,8.9,3.7,5.2,24.4,Group Captive Solar & Rooftop PV (SEBI Rank #470),Targeting >55% clean electricity mix
Jai Balaji Inds.,JAIBALAJI,Small Cap,Chemicals & Petrochemicals,Specialty Chemicals,69.73,44.0,53.0,122.0,196.0,280.0,344.0,3.5,24.0,5.2,8.4,3.8,4.6,23.9,Group Captive Solar & Rooftop PV (SEBI Rank #774),Targeting >49% clean electricity mix
Morepen Labs.,MOREPENLAB,Small Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,113.74,47.0,59.0,131.0,208.0,295.0,362.0,3.5,27.0,5.2,8.4,3.8,4.6,23.9,Group Captive Solar & Rooftop PV (SEBI Rank #777),Targeting >52% clean electricity mix
Archean Chemical,ACI,Small Cap,Chemicals & Petrochemicals,Specialty Chemicals,504.2,48.0,61.0,134.0,212.0,300.0,368.0,3.5,28.0,5.2,8.4,3.8,4.6,23.9,Group Captive Solar & Rooftop PV (SEBI Rank #778),Targeting >53% clean electricity mix
Shaily Engineer.,SHAILY,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,3278.3,3.0,26.0,94.0,187.0,330.0,393.0,3.0,33.0,4.5,8.9,3.7,5.2,23.4,Group Captive Solar & Rooftop PV (SEBI Rank #473),Targeting >58% clean electricity mix
Crompton Gr. Con,CROMPTON,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,232.4,6.0,32.0,103.0,199.0,345.0,411.0,3.0,11.0,4.5,8.9,3.7,5.2,23.4,Group Captive Solar & Rooftop PV (SEBI Rank #476),Targeting >36% clean electricity mix
Canara HSBC,CANHLIFE,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,157.23,7.0,34.0,106.0,203.0,350.0,417.0,3.0,12.0,4.5,8.9,3.7,5.2,23.4,Group Captive Solar & Rooftop PV (SEBI Rank #477),Targeting >37% clean electricity mix
SKF India Indus.,SKFINDUS,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,3002.5,9.0,38.0,112.0,211.0,360.0,429.0,3.0,14.0,4.5,8.9,3.7,5.2,23.4,Group Captive Solar & Rooftop PV (SEBI Rank #479),Targeting >39% clean electricity mix
Niva Bupa Health,NIVABUPA,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,80.11,12.0,44.0,61.0,83.0,115.0,187.0,3.0,17.0,4.5,8.9,3.7,5.2,23.4,Group Captive Solar & Rooftop PV (SEBI Rank #482),Targeting >42% clean electricity mix
Kirl. Brothers,KIRLOSBROS,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,1862.0,15.0,50.0,70.0,95.0,130.0,205.0,3.0,20.0,4.5,8.9,3.7,5.2,23.4,Group Captive Solar & Rooftop PV (SEBI Rank #485),Targeting >45% clean electricity mix
CCL Products,CCL,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,1106.2,16.0,52.0,73.0,99.0,135.0,211.0,3.0,21.0,4.5,8.9,3.7,5.2,23.4,Group Captive Solar & Rooftop PV (SEBI Rank #486),Targeting >46% clean electricity mix
T N Merc. Bank,TMB,Small Cap,Banking & Financial Services,BFSI,932.45,17.0,54.0,76.0,103.0,140.0,217.0,3.0,22.0,4.5,8.9,3.7,5.2,23.4,Group Captive Solar & Rooftop PV (SEBI Rank #487),Targeting >47% clean electricity mix
Raymond Lifestyl,RAYMONDLSL,Small Cap,Textiles & Apparel,Textiles & Apparel,663.65,22.0,24.0,86.0,173.0,310.0,397.0,3.2,72.0,4.8,8.6,3.75,4.85,23.3,Group Captive Solar & Rooftop PV (SEBI Rank #947),Targeting >97% clean electricity mix
Welspun Special.,WELSPLSOL,Small Cap,Textiles & Apparel,Textiles & Apparel,59.55,33.0,46.0,119.0,217.0,365.0,463.0,3.2,33.0,4.8,8.6,3.75,4.85,23.3,Group Captive Solar & Rooftop PV (SEBI Rank #958),Targeting >58% clean electricity mix
Alok Industries,ALOKINDS,Small Cap,Textiles & Apparel,Textiles & Apparel,7.83,45.0,70.0,95.0,125.0,165.0,275.0,3.1,45.0,4.7,8.6,3.75,4.85,22.8,Group Captive Solar & Rooftop PV (SEBI Rank #970),Targeting >70% clean electricity mix
Ideaforge Tech,IDEAFORGE,Small Cap,Automotive & 2W/3W,Auto Ancillary & Components,777.05,48.0,76.0,104.0,137.0,180.0,293.0,3.1,48.0,4.7,8.6,3.75,4.85,22.8,Group Captive Solar & Rooftop PV (SEBI Rank #973),Targeting >73% clean electricity mix
Sanathan Textile,SANATHAN,Small Cap,Textiles & Apparel,Textiles & Apparel,456.2,-14.0,17.0,48.0,84.0,130.0,246.0,3.1,51.0,4.7,8.6,3.75,4.85,22.8,Group Captive Solar & Rooftop PV (SEBI Rank #976),Targeting >76% clean electricity mix
Sterling & Wilson RE Ltd,SWSOLAR,Small Cap,Power Utilities & Cleantech,EPC & captive solar solutions,186.23,-22.7,-69.6,-48.1,-39.6,-53.2,-17.1,25.0,65.0,45.0,8.5,3.5,5.0,22.5,EPC & captive solar solutions,Global leader in utility solar EPC
Fineotex Chem,FCL,Small Cap,Chemicals & Petrochemicals,Specialty Chemicals,51.51,1.0,32.0,63.0,159.0,265.0,351.0,3.3,46.0,4.9,8.4,3.8,4.6,22.5,Group Captive Solar & Rooftop PV (SEBI Rank #796),Targeting >71% clean electricity mix
IOL Chemicals,IOLCP,Small Cap,Chemicals & Petrochemicals,Specialty Chemicals,199.95,8.0,46.0,84.0,107.0,220.0,313.0,3.3,53.0,4.9,8.4,3.8,4.6,22.5,Group Captive Solar & Rooftop PV (SEBI Rank #803),Targeting >78% clean electricity mix
Neogen Chemicals,NEOGEN,Small Cap,Chemicals & Petrochemicals,Specialty Chemicals,2137.9,9.0,48.0,87.0,111.0,225.0,319.0,3.3,54.0,4.9,8.4,3.8,4.6,22.5,Group Captive Solar & Rooftop PV (SEBI Rank #804),Targeting >79% clean electricity mix
Rainbow Child.,RAINBOW,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,1447.2,19.0,58.0,82.0,111.0,150.0,229.0,2.9,24.0,4.3,8.9,3.7,5.2,22.4,Group Captive Solar & Rooftop PV (SEBI Rank #489),Targeting >49% clean electricity mix
V-Guard Industri,VGUARD,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,335.4,21.0,62.0,88.0,119.0,160.0,241.0,2.9,26.0,4.3,8.9,3.7,5.2,22.4,Group Captive Solar & Rooftop PV (SEBI Rank #491),Targeting >51% clean electricity mix
Bikaji Foods,BIKAJI,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,584.2,22.0,64.0,91.0,123.0,165.0,247.0,2.9,27.0,4.3,8.9,3.7,5.2,22.4,Group Captive Solar & Rooftop PV (SEBI Rank #492),Targeting >52% clean electricity mix
Balrampur Chini,BALRAMCHIN,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,690.6,24.0,68.0,97.0,131.0,175.0,259.0,2.9,29.0,4.3,8.9,3.7,5.2,22.4,Group Captive Solar & Rooftop PV (SEBI Rank #494),Targeting >54% clean electricity mix
Supreme Petroch.,SPLPETRO,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,771.05,26.0,27.0,58.0,94.0,140.0,226.0,2.9,31.0,4.3,8.9,3.7,5.2,22.4,Group Captive Solar & Rooftop PV (SEBI Rank #496),Targeting >56% clean electricity mix
Indegene,INDGN,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,601.5,27.0,29.0,61.0,98.0,145.0,232.0,2.9,32.0,4.3,8.9,3.7,5.2,22.4,Group Captive Solar & Rooftop PV (SEBI Rank #497),Targeting >57% clean electricity mix
Sigma Advanced System,SIGMAADV,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,762.4,28.0,31.0,64.0,102.0,150.0,238.0,2.9,33.0,4.3,8.9,3.7,5.2,22.4,Group Captive Solar & Rooftop PV (SEBI Rank #498),Targeting >58% clean electricity mix
Atlanta Electric,ATLANTAELE,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,1881.7,29.0,33.0,67.0,106.0,155.0,244.0,2.9,34.0,4.3,8.9,3.7,5.2,22.4,Group Captive Solar & Rooftop PV (SEBI Rank #499),Targeting >59% clean electricity mix
JSW Dulux,JSWDULUX,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,3174.5,30.0,35.0,70.0,110.0,160.0,250.0,2.9,10.0,4.3,8.9,3.7,5.2,22.4,Group Captive Solar & Rooftop PV (SEBI Rank #500),Targeting >35% clean electricity mix
Apollo Micro Sys,APOLLO,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,388.9,31.0,37.0,73.0,114.0,165.0,256.0,2.9,11.0,4.3,8.9,3.7,5.2,22.4,Group Captive Solar & Rooftop PV (SEBI Rank #501),Targeting >36% clean electricity mix
Vedant Fashions,MANYAVAR,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,594.2,32.0,39.0,76.0,118.0,170.0,262.0,2.9,12.0,4.3,8.9,3.7,5.2,22.4,Group Captive Solar & Rooftop PV (SEBI Rank #502),Targeting >37% clean electricity mix
Graphite India,GRAPHITE,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,733.6,33.0,41.0,79.0,122.0,175.0,268.0,2.9,13.0,4.3,8.9,3.7,5.2,22.4,Group Captive Solar & Rooftop PV (SEBI Rank #503),Targeting >38% clean electricity mix
Polycab India Ltd,POLYCAB,Large Cap,Capital Goods & Engineering,Cables & Fast Moving Electrical Goods,8300.0,32.0,115.0,240.0,380.0,650.0,850.0,22.0,36.0,48.0,8.4,3.75,4.65,22.3,Rooftop Solar + Open Access Wind Power in Gujarat,50% RE by 2029
Orchid Pharma,ORCHPHARMA,Small Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,954.65,19.0,23.0,72.0,106.0,230.0,334.0,3.2,29.0,4.8,8.4,3.8,4.6,22.1,Group Captive Solar & Rooftop PV (SEBI Rank #814),Targeting >54% clean electricity mix
Fractal Analyt.,FRACTAL,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,825.45,34.0,43.0,82.0,126.0,180.0,274.0,2.8,14.0,4.2,8.9,3.7,5.2,21.8,Group Captive Solar & Rooftop PV (SEBI Rank #504),Targeting >39% clean electricity mix
KSB,KSB,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,813.55,35.0,45.0,85.0,130.0,185.0,280.0,2.8,15.0,4.2,8.9,3.7,5.2,21.8,Group Captive Solar & Rooftop PV (SEBI Rank #505),Targeting >40% clean electricity mix
Anupam Rasayan,ANURAS,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,1238.7,37.0,49.0,91.0,138.0,195.0,292.0,2.8,17.0,4.2,8.9,3.7,5.2,21.8,Group Captive Solar & Rooftop PV (SEBI Rank #507),Targeting >42% clean electricity mix
HEG,HEG,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,728.25,38.0,51.0,94.0,142.0,200.0,298.0,2.8,18.0,4.2,8.9,3.7,5.2,21.8,Group Captive Solar & Rooftop PV (SEBI Rank #508),Targeting >43% clean electricity mix
International Gemological Instit,IGIL,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,323.5,39.0,53.0,97.0,146.0,205.0,304.0,2.8,19.0,4.2,8.9,3.7,5.2,21.8,Group Captive Solar & Rooftop PV (SEBI Rank #509),Targeting >44% clean electricity mix
EID Parry,EIDPARRY,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,781.35,40.0,55.0,100.0,150.0,210.0,310.0,2.8,20.0,4.2,8.9,3.7,5.2,21.8,Group Captive Solar & Rooftop PV (SEBI Rank #510),Targeting >45% clean electricity mix
Prudent Corp.,PRUDENT,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,3347.6,41.0,57.0,103.0,154.0,215.0,316.0,2.8,21.0,4.2,8.9,3.7,5.2,21.8,Group Captive Solar & Rooftop PV (SEBI Rank #511),Targeting >46% clean electricity mix
Gallantt Ispat L,GALLANTT,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,574.0,42.0,59.0,106.0,158.0,220.0,322.0,2.8,22.0,4.2,8.9,3.7,5.2,21.8,Group Captive Solar & Rooftop PV (SEBI Rank #512),Targeting >47% clean electricity mix
S C I,SCI,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,295.35,44.0,63.0,112.0,166.0,230.0,334.0,2.8,24.0,4.2,8.9,3.7,5.2,21.8,Group Captive Solar & Rooftop PV (SEBI Rank #514),Targeting >49% clean electricity mix
Vinati Organics,VINATIORGA,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,1310.7,46.0,67.0,118.0,174.0,240.0,346.0,2.7,26.0,4.1,8.9,3.7,5.2,21.3,Group Captive Solar & Rooftop PV (SEBI Rank #516),Targeting >51% clean electricity mix
Sobha,SOBHA,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,1263.8,47.0,69.0,121.0,178.0,245.0,352.0,2.7,27.0,4.1,8.9,3.7,5.2,21.3,Group Captive Solar & Rooftop PV (SEBI Rank #517),Targeting >52% clean electricity mix
DOMS Industries,DOMS,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,2208.7,-15.0,10.0,65.0,125.0,195.0,305.0,2.7,30.0,4.1,8.9,3.7,5.2,21.3,Group Captive Solar & Rooftop PV (SEBI Rank #520),Targeting >55% clean electricity mix
Action Const.Eq.,ACE,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,1125.4,-14.0,12.0,68.0,129.0,200.0,311.0,2.7,31.0,4.1,8.9,3.7,5.2,21.3,Group Captive Solar & Rooftop PV (SEBI Rank #521),Targeting >56% clean electricity mix
Molbio Diagnosti,MOLBIO,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,1160.5,-13.0,14.0,71.0,133.0,205.0,317.0,2.7,32.0,4.1,8.9,3.7,5.2,21.3,Group Captive Solar & Rooftop PV (SEBI Rank #522),Targeting >57% clean electricity mix
Swan Defence,SWANDEF,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,2520.2,-10.0,20.0,80.0,145.0,220.0,335.0,2.7,10.0,4.1,8.9,3.7,5.2,21.3,Group Captive Solar & Rooftop PV (SEBI Rank #525),Targeting >35% clean electricity mix
Titan Company Ltd,TITAN,Large Cap,FMCG & Consumer Goods,Dedicated Solar Park + Rooftop Solar,5020.0,49.1,31.3,59.4,92.6,132.2,317.9,18.0,72.0,42.0,8.7,3.7,5.0,21.0,Dedicated Solar Park + Rooftop Solar,100% RE across manufacturing by 2027
Tilaknagar Inds.,TI,Small Cap,Diversified & Manufacturing,Diversified Conglomerates,535.1,-9.0,22.0,83.0,149.0,225.0,341.0,2.6,11.0,3.9,8.9,3.7,5.2,20.3,Group Captive Solar & Rooftop PV (SEBI Rank #526),Targeting >36% clean electricity mix
